순번,회사명,생산품,업종명,대표주소,전화번호,팩스번호,데이터기준일자,실측점검,품질점검
577,(주)삼표산업 인천공장,레미콘,레미콘 제조업,인천광역시 서구 백범로 790 (가좌동),032-576-0035,032-575-5835,2021-06-30,,
578,(주)삼표산업 인천몰탈공장,드라이 모르타르,비내화 모르타르 제조업,인천광역시 서구 보듬로 60 (오류동) 외 1필지,032-262-1180,032-262-1177,2021-06-30,,
579,(주)삼한,도료,일반용 도료 및 관련제품 제조업,인천광역시 서구 도담7로 8 (오류동),042-584-0996,042-584-0995,2021-06-30,,
580,(주)삼한산업,PCB/액세서리 도금,도금업,인천광역시 서구 보듬로 89 (오류동),032-577-5032,032-577-5033,2021-06-30,,
581,(주)삼현테크,산업기계,그 외 기타 금속가공업,"인천광역시 서구 로봇랜드로249번길 132-1, 청라동11-41 (경서동)",032-715-7823,032-341-2314,2021-06-30,,
582,(주)삼호나노텍,자동차 부품,자동차 차체용 신품 부품 제조업 외 1 종,인천광역시 서구 로봇랜드로249번길 62-10 (청라동),032-512-2566,032-503-2566,2021-06-30,,
583,(주)삼화감속기,감속기,기어 및 동력전달장치 제조업,인천광역시 서구 사렴로43번길 13 (경서동),032-561-0121,032-561-0125,2021-06-30,,
584,(주)삼화이엔지,집진기,기체 여과기 제조업,인천광역시 서구 백범로934번길 10-10 (가좌동),032-577-3960,032-577-3963,2021-06-30,,
585,(주)삼화이엠씨,"집진기,기타산업기계",기체 여과기 제조업 외 2 종,"인천광역시 서구 원당대로205번길 2-28 (오류동, 삼화EMC)",032-569-0270,032-569-0273,2021-06-30,,
586,(주)삼화전자,P.C.B 인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 건지로284번길 98 (가좌동),032-576-5265,032-576-3176,2021-06-30,,
587,(주)삼화정유,윤활유,비금속류 해체 및 선별업 외 1 종,"인천광역시 서구 건지로97번길 16 (석남동, B동)",032-578-8490,032-579-2412,2021-06-30,,
588,(주)삼환글로벌,건축용목제품,기타 건축용 나무제품 제조업,인천광역시 서구 가정로67번길 10 (가좌동),032-573-0177,032-573-0179,2021-06-30,,
589,(주)상상팩토리,"삼겹, 오겹, 소늑간살 가공품",육류 기타 가공 및 저장처리업 (가금류 제외),인천광역시 서구 설원로138번안길 28 (대곡동) MEAFOOD,031-493-9277,031-494-9277,2021-06-30,,
590,(주)상아아이제이,휴대폰부품,운송장비 조립용 플라스틱제품 제조업 외 1 종,인천광역시 서구 오류동 0번지 검단일반산업단지내 29-8,032-568-7985,032-568-7991,2021-06-30,,
591,(주)상우정공,초경특수공구,비동력식 수공구 제조업,인천광역시 서구 봉수대로183번길 10 (가좌동),032-584-9195,032-584-9198,2021-06-30,,
592,(주)상은스틸,환봉,절삭가공 및 유사처리업,인천광역시 서구 도담1로 19 (오류동),032-675-3161,032-673-1951,2021-06-30,,
593,(주)상일시스템,무선통신중계기외함체,기타 무선 통신장비 제조업 외 1 종,"인천광역시 서구 석남로 35 (석남동, G동)",032-574-2100,032-573-4484,2021-06-30,,
594,(주)상진기공,"쇼트기계, 조형기계",그 외 기타 특수목적용 기계 제조업 외 2 종,인천광역시 서구 거북로24번길 19 (석남동),032-766-8085,032-766-8087,2021-06-30,,
595,(주)새암에스에스,"알루미늄창호, 스텐창호","금속 문, 창, 셔터 및 관련제품 제조업",인천광역시 서구 건지로121번길 33 (석남동),032-571-7005,032-571-7006,2021-06-30,,
596,(주)새움,"금속기둥, 판금, 금속상자",구조용 금속 판제품 및 공작물 제조업 외 10 종,인천광역시 서구 원창로89번길 13-9 (원창동) 원창테크노,02-468-5755,02-468-5765,2021-06-30,,
597,(주)샛별푸드,냉동도시락,도시락류 제조업,,032-715-7395,032-715-7396,2021-06-30,,
598,(주)생활공간,"가구(장농, 침대, 책상, 서랍장 등)",기타 목재가구 제조업,인천광역시 서구 마중로 109 (오류동),032-564-2155,032-564-8202,2021-06-30,,
599,(주)샤인에너지,"배전반, 분전반, 자동제어반",배전반 및 전기 자동제어반 제조업,"인천광역시 서구 봉수대로501번길 58-19, 2층, 3층 (원창동) 외 1필지",032-763-0015,032-763-0017,2021-06-30,,
600,(주)샤인제이에이치,자동화기계,"용기 세척, 포장 및 충전기 제조업",인천광역시 서구 건지로218번길 3 (석남동),032-221-7647,032-221-7648,2021-06-30,,
601,(주)서광금속,금속주조주물,선철주물 주조업,인천광역시 서구 사렴로9번길 30 (경서동),032-564-2736,032-563-5396,2021-06-30,,
602,(주)서연,온수배분기,산업용 난방보일러 및 방열기 제조업,인천광역시 서구 장고개로126번길 17-12 (가좌동),,032-876-7939,2021-06-30,,
603,(주)서연탑메탈,자동차 프레스 금형,주형 및 금형 제조업,인천광역시 서구 누리로 27 (오류동) 외 1필지,032-820-3204,032-816-3484,2021-06-30,,
604,(주)서영팀버,"각재, 잔재",일반 제재업,인천광역시 서구 두루물로48번길 5 (오류동),032-584-9531,032-584-9532,2021-06-30,,
605,(주)서우,이산화염소수,화학 살균.살충제 및 농업용 약제 제조업,"인천광역시 서구 가정로37번길 37-24 (가좌동) 2층, 3층 일부",,032-710-6149,2021-06-30,,
606,(주)서울에프엔디,풀림방지너트,볼트 및 너트류 제조업 외 3 종,"인천광역시 서구 원전로12번길 14 (경서동, 가동)",032-562-2001,032-562-5986,2021-06-30,,
607,(주)서울엔지니어링(1공장),절삭가공업,절삭가공 및 유사처리업 외 1 종,"인천광역시 서구 장고개로 131, 180-172 (가좌동)",032-584-9901,032-584-9902,2021-06-30,,
608,(주)서울엔지니어링(2공장),동주물,절삭가공 및 유사처리업 외 1 종,인천광역시 서구 장고개로117번길 18-7 (가좌동),032-584-9901,032-584-9902,2021-06-30,,
609,(주)서원비에스티,"목재덱,디자인형울타리",일반 제재업 외 2 종,인천광역시 서구 북항로245번길 10 (원창동),032-773-8601,032-773-8606,2021-06-30,,
610,(주)서원이엔시,"배전반,자동제어반",배전반 및 전기 자동제어반 제조업,인천광역시 서구 봉수대로285번길 20-4 (석남동),032-584-7702,032-581-7702,2021-06-30,,
611,(주)서일,스프링,금속 스프링 제조업 외 1 종,인천광역시 서구 로봇랜드로249번길 46-53 (청라동),032-575-4394,032-575-4397,2021-06-30,,
612,(주)서전테크,주방용 전기기기,주방용 전기기기 제조업,인천광역시 서구 백범로810번길 26-19 (가좌동),032-818-2530,032-818-2352,2021-06-30,,
613,(주)서정아트센터,공장임대,비주거용 건물 임대업,"인천광역시 서구 보듬로 158, 6층 검단지식산업센터 블루텍 635호 (오류동)",,,2021-06-30,,
614,(주)선그린,"소스류, 시즈닝 등",천연 및 혼합조제 조미료 제조업,인천광역시 서구 금곡동 0-0번지 I-Food Park 7블록 10롯트,032-604-2700,,2021-06-30,,
615,(주)선명하이테크,인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 중봉대로396번길 10 (원창동),032-584-8673,032-569-0783,2021-06-30,,
616,(주)선명하이텍,방열판외,"알루미늄 압연, 압출 및 연신제품 제조업","인천광역시 서구 장고개로 158 (가좌동, 5동)",032-582-5922,032-582-5923,2021-06-30,,
617,(주)선봉식품,갈비탕,도시락류 제조업 외 1 종,인천광역시 서구 검단로93번길 31 (오류동),032-581-8100,032-581-0284,2021-06-30,,
618,(주)선일기공,"코렉스풍구, 오일팬",절삭가공 및 유사처리업,"인천광역시 서구 염곡로15번길 3 (가좌동, 선일기공가좌공장) (총 2 필지) 외 1필지",032-575-9851,32,2021-06-30,,
619,(주)선정소방 인천점,"소방(기계, 전기) 컨설팅",기타 엔지니어링 서비스업,"인천광역시 서구 가좌로 54, 6층 606 (가좌동)",032-569-1379,032-566-1057,2021-06-30,,
620,(주)선진엠앤에스,포장기계제작,"용기 세척, 포장 및 충전기 제조업",인천광역시 서구 마중5로 24 (오류동),070-4403-6765,032-568-8635,2021-06-30,,
621,(주)선진용접기,전기용접기,그 외 기타 전기장비 제조업,인천광역시 서구 건지로153번길 26-14 (석남동),032-578-2088,032-578-2089,2021-06-30,,
622,(주)선진케미컬,알루미늄 부품,도금업,"인천광역시 서구 백범로 681, 스마트테크노타워 705~709호 (가좌동)",032-875-8179,032-875-8189,2021-06-30,,
623,(주)성광이엔에스,액체펌프,액체 펌프 제조업,인천광역시 서구 사렴로44번길 26 (경서동),032-772-4063,032-772-4064,2021-06-30,,
624,(주)성도정밀,수중펌프,액체 펌프 제조업,인천광역시 서구 가재울로 112 (가좌동),032-578-7779,032-573-0257,2021-06-30,,
625,(주)성림,식품용기 뚜껑,포장용 플라스틱 성형용기 제조업,인천광역시 서구 로봇랜드로249번길 46-15 (청라동),032-812-3547,032-812-3549,2021-06-30,,
626,(주)성림전자,인쇄회로기판,경성 인쇄회로기판 제조업,"인천광역시 서구 중봉대로198번길 27,인천써키트 203호 (가좌동)",032-582-2316,032-582-2315,2021-06-30,,
627,(주)성보이엔지,"어스앙카,디자인그레이팅",구조용 금속 판제품 및 공작물 제조업,인천광역시 서구 원전로37번길 9 (경서동),032-719-8115,032-566-8110,2021-06-30,,
628,(주)성신이노텍,"키오스크,디자인,DID",사무용 기계 및 장비 제조업,인천광역시 서구 북항로120번길 13-32 (원창동),032-522-9165,032-522-9166,2021-06-30,,
629,(주)성신크램프,건축크램프,육상 금속 골조 구조재 제조업 외 1 종,"인천광역시 서구 사렴로65번길 30 (경서동, 성신금속)",032-568-2618,032-568-8943,2021-06-30,,
630,(주)성신특수목재,"목창호,문틀,건축용목제품",목재문 및 관련제품 제조업 외 1 종,인천광역시 서구 원석로90번길 7 (석남동),032-875-4965,032-584-4966,2021-06-30,,
631,(주)성신화스너,도금,도금업 외 1 종,인천광역시 서구 가람로 14 (오류동) 인천표면처리센터 요진코아텍 1동 3층 323호,031-982-1439,031-982-1560,2021-06-30,,
632,(주)성암금속,알루미늄 잉곳,"알루미늄 제련, 정련 및 합금 제조업",인천광역시 서구 보듬1로 15 (오류동),032-562-7304,032-562-7305,2021-06-30,,
633,(주)성우산업,"수치제어장치가 장착된 공작기계(CNC, 중장비부품외)",금속 절삭기계 제조업,인천광역시 서구 백범로701번길 9 (가좌동),032-872-4500,032-872-4508,2021-06-30,,
634,(주)성우실업,플라스틱 진공증착코팅,플라스틱 접착처리 제품 제조업 외 1 종,"인천광역시 서구 가좌로84번길 15, 4층 (가좌동)",032-574-6662,032-574-6669,2021-06-30,,
635,(주)성우이앤텍,공장임대,비주거용 건물 임대업,"인천광역시 서구 가람로 14, 5층 인천표면처리센터 코아텍 512호 (오류동)",02-334-0601,02-334-0620,2021-06-30,,
636,(주)성우테크,화장품케이스UV코팅,플라스틱 접착처리 제품 제조업 외 1 종,"인천광역시 서구 가좌로84번길 15, 5층,6층일부 (가좌동)",032-574-6662,032-577-6669,2021-06-30,,
637,(주)성운프렌트,"사료제조기계,소각로,혼합기 등",농업 및 임업용 기계 제조업 외 6 종,"인천광역시 서구 원적로7번길 24 (가좌동, (주)성운프렌트)",032-579-2505,032-579-2506,2021-06-30,,
638,(주)성원에프앤씨,PET필름,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,인천광역시 서구 중봉대로 258 (석남동),032-503-2700,032-503-6789,2021-06-30,,
639,(주)성원프로덕트,도금,도금업 외 1 종,"인천광역시 서구 가람로 14, 지식산업센터 614호 (오류동)",032-330-3092,032-882-5225,2021-06-30,,
640,(주)성은글로벌,목재파렛트,목재 깔판류 및 기타 적재판 제조업,인천광역시 서구 원석로 100 (석남동),032-578-7550,032-578-7552,2021-06-30,,
641,(주)성일테크놀러지,자동차부품및엘리베이터부품,운송장비 조립용 플라스틱제품 제조업 외 1 종,"인천광역시 서구 방축로 339 (가좌동, (주)성일테크날러지)",032-575-6834,032-572-2426,2021-06-30,,
642,(주)성일특수강,"자동차 부품, 문구용 칼",날붙이 제조업 외 4 종,인천광역시 서구 로봇랜드로249번길 46-31 (청라동),032-446-1683,032-446-1686,2021-06-30,,
643,(주)성일특장,특장차제조,기타 물품 취급장비 제조업 외 8 종,"인천광역시 서구 드림로 488 (당하동, 대한종합철강)",032-564-2796,032-563-7170,2021-06-30,,
644,(주)성주산업,"자동차 부품(사출, 금형)",주형 및 금형 제조업,인천광역시 서구 건지로121번길 27 (석남동),032-672-7331,032-677-7332,2021-06-30,,
645,(주)성지공간,납골안치단,설치용 및 위생용 플라스틱제품 제조업 외 1 종,"인천광역시 서구 보듬로 158, 6층 검단지식산업센터 블루텍 603호 (오류동)",032-683-6171,032-232-6171,2021-06-30,,
646,(주)성지기계,타이밍 풀리 & 기어 및 기계부품,기어 및 동력전달장치 제조업,"인천광역시 서구 검단로54번길 34, 1동(오류동)",032-817-8383,032-819-8344,2021-06-30,,
647,(주)성지라미텍,필름가공목재,"목재 보존, 방부처리, 도장 및 유사 처리업",인천광역시 서구 건지로 43 (석남동) 외 3필지,032-572-1800,032-572-5857,2021-06-30,,
648,(주)성지목재,목재,일반 제재업,인천광역시 서구 장고개로231번길 22 (가좌동),032-589-8224,032-589-8227,2021-06-30,,
649,(주)성진,세면대 팝업밸브,금속 위생용품 제조업 외 1 종,"인천광역시 서구 로봇랜드로249번길 94, A동 일부 (청라동)",032-868-8226,032-725-3119,2021-06-30,,
650,(주)성진로지스,자동차부품도금,도금업,"인천광역시 서구 중봉대로240번길 24 (석남동) 203,205호",032-573-4789,032-573-4790,2021-06-30,,
651,(주)성진씨엔티,탄산칼슘,비금속광물 분쇄물 생산업 외 2 종,"인천광역시 서구 가람로 47 (오류동, 공장)",032-562-1032,032-564-5205,2021-06-30,,
652,(주)성진정밀,전자부품(방열판),그 외 기타 전자부품 제조업 외 1 종,인천광역시 서구 백범로678번길 30 (가좌동),032-507-8308,032-507-8307,2021-06-30,,
653,(주)성헌,유니버설죠인트.기계부품,기어 및 동력전달장치 제조업,"인천광역시 서구 가정로87번길 24 (가좌동, (주)성헌) 외 1필지",032-573-1314,032-576-1315,2021-06-30,,
654,(주)성호기공,"슬리터,코팅기",인쇄 및 제책용 기계 제조업 외 1 종,인천광역시 서구 보듬로 109 (오류동),032-563-9333,032-568-8333,2021-06-30,,
655,(주)성화실업,"와샤,브락켓트",자동차용 금속 압형제품 제조업 외 1 종,인천광역시 서구 북항로207번길 37 (원창동) 외 1필지,032-581-4335,032-581-4440,2021-06-30,,
656,(주)성훈라이팅,"가로등, 조명기구",일반용 전기 조명장치 제조업,"인천광역시 서구 보듬로 158, 7층 검단지식산업센터 블루텍 712호 (오류동)",,031-996-2450,2021-06-30,,
657,(주)성희테크,알루미늄폴,도금업,인천광역시 서구 검단천로356번길 40 (오류동),032-816-5914,032-816-5915,2021-06-30,,
658,(주)세건에코존,"오존발생기, 산소통, 공기정화장치, 수질","증류기, 열교환기 및 가스발생기 제조업 외 2 종","인천광역시 서구 거북로 17, 인천테크피아 가동 지층 비103호 (석남동) 외 1필지",032-514-1861,032-514-1869,2021-06-30,,
659,(주)세계로시스템,자동포장기,"용기 세척, 포장 및 충전기 제조업",인천광역시 서구 보도진로42번길 16 (가좌동),032-670-8191,032-573-8191,2021-06-30,,
660,(주)세고산업,"부스터펌프시스템, 입형다단펌프",액체 펌프 제조업,인천광역시 서구 봉수대로 199 (가좌동),032-345-2611,032-345-1355,2021-06-30,,
661,(주)세광롤,로드,절삭가공 및 유사처리업,인천광역시 서구 가정로16번길 25 (가좌동),032-875-9445,032-875-9448,2021-06-30,,
662,(주)세광테크,항온가습기,공기 조화장치 제조업,인천광역시 서구 검단로54번길 12 (오류동),032-573-5800,032-579-4367,2021-06-30,,
663,(주)세기전기,자동제어판넬,배전반 및 전기 자동제어반 제조업,인천광역시 서구 봉수대로300번길 39 (석남동),032-578-4339,032-578-3138,2021-06-30,,
664,(주)세니온,배전반 및 전기회로개폐장치,"전기회로 개폐, 보호장치 제조업 외 4 종",인천광역시 서구 검단로114번길 13 (오류동),032-230-0500,032-230-0599,2021-06-30,,
665,(주)세닉스산업,우레탄방수제,합성수지 및 기타 플라스틱 물질 제조업,"인천광역시 서구 봉화로108번길 50-22 (오류동, 세닉스)",032-563-6977,032-564-6977,2021-06-30,,
666,(주)세아전자,솔레노이드 밸브,"탭, 밸브 및 유사장치 제조업",인천광역시 서구 파랑로466번길 55 (청라동),032-578-9456,032-876-9453,2021-06-30,,
667,(주)세아트레이딩,포장 및 충전,포장 및 충전업,인천광역시 서구 백범로 681 (가좌동) 스마트테크노타워 가동 2층 201호 외 2필지,032-504-0093,032-560-0689,2021-06-30,,
668,(주)세안,휴대용부탄가스,그 외 기타 분류 안된 화학제품 제조업,인천광역시 서구 길주로44번길 24 (석남동) 외 3필지,032-571-1955,032-270-3415,2021-06-30,,
669,(주)세양시스템,"반도체장비부품, 방산부품가공",무기 및 총포탄 제조업 외 8 종,"인천광역시 서구 가정로37번길 29 (가좌동, 세양시스템)",032-818-7311,032-581-7311,2021-06-30,,
670,(주)세우이엔지,공기조화장치 부품,공기 조화장치 제조업,인천광역시 서구 가재울로 11  (가좌동),031-494-0814,031-491-0817,2021-06-30,,
671,(주)세운이엔지,"음식물처리기, 초음파식기세척기, 산업용송풍기외",주방용 전기기기 제조업 외 3 종,인천광역시 서구 장고개로126번길 17-9 (가좌동),032-575-0973,032-574-0975,2021-06-30,,
672,(주)세움하우징,"부엌가구, 신발장",주방용 및 음식점용 목재가구 제조업 외 1 종,"인천광역시 서구 가정로77번길 56, 2동 (가좌동)",032-511-0812,032-511-0813,2021-06-30,,
673,(주)세웅다이케스팅,알루미늄및아연주물제품,알루미늄주물 주조업 외 1 종,인천광역시 서구 북항로 28-36 (원창동) 외 1필지,032-583-4340,032-583-4344,2021-06-30,,
674,(주)세원수중펌프,"수중펌프,교반기,호이스트,펌프수문",액체 여과기 제조업 외 3 종,인천광역시 서구 설원로138번길 71-5 (대곡동),032-564-0167,032-564-0168,2021-06-30,,
675,(주)세원정밀,자동차부품,그 외 자동차용 신품 부품 제조업,인천광역시 서구 장고개로117번길 32-5 (가좌동),032-577-2595,032-577-2594,2021-06-30,,
676,(주)세원콤프레샤,공기압축기,기체 펌프 및 압축기 제조업,"인천광역시 서구 건지로121번길 21 (석남동, 나동)",032-574-7511,032-574-7513,2021-06-30,,
677,(주)세이버,초음파식기세척기,그 외 기타 전기장비 제조업 외 2 종,"인천광역시 서구 백범로 681, 스마트테크노타워 2001-2002호 (가좌동)",032-1688-8164,02-6008-4174,2021-06-30,,
678,(주)세이브,Charcoal,그 외 기타 나무제품 제조업,"인천광역시 서구 로봇랜드로249번길 132, 1,3,4동 (경서동)",032-571-1810,032-582-0526,2021-06-30,,
679,(주)세일공조,"항온항습기,공기조화기,냉난방기",공기 조화장치 제조업 외 1 종,인천광역시 서구 보듬8로 15 (오류동),032-672-9700,032-674-0711,2021-06-30,,
680,(주)세일기계,특수목적용 기계,그 외 기타 특수목적용 기계 제조업 외 1 종,인천광역시 서구 로봇랜드로249번길 46-17 (청라동),032-572-8397,032-574-8397,2021-06-30,,
681,(주)세재산업기계,주차설비,승강기 제조업,인천광역시 서구 길무로165번길 18 (오류동),032-567-4931,032-567-4172,2021-06-30,,
682,(주)세종소나기,"수전금구, 샤워기",설치용 및 위생용 플라스틱제품 제조업 외 1 종,"인천광역시 서구 보도진로 20 (가좌동, 가동)",032-577-4582,032-577-4588,2021-06-30,,
683,(주)세종테크,자동차부품,그 외 자동차용 신품 부품 제조업 외 5 종,"인천광역시 서구 백범로603번길 64 (가좌동, E동)",032-577-0881,032-574-0783,2021-06-30,,
684,(주)세진도금,기계부품,도금업,인천광역시 서구 가재울로 112 (가좌동),032-577-5508,032-582-3529,2021-06-30,,
685,(주)세진디에스,"자동차 부품, 금속 절삭기계 제조업(다이아몬드 공구)",톱 및 호환성 공구 제조업 외 1 종,인천광역시 서구 가정로 44-6 (가좌동),032-556-1808,032-547-5734,2021-06-30,,
686,(주)세진모터스,콘로드,자동차용 신품 동력전달장치 제조업,인천광역시 서구 원전로59번길 32 (경서동),032-564-4810,032-564-4813,2021-06-30,,
687,(주)세진산업기계,승강기 및 승강기 부품제조,승강기 제조업,인천광역시 서구 건지로121번길 33-11 (석남동),032-583-2964,050-5300-2964,2021-06-30,,
688,(주)세진이앤지,"배전반, 전기자동제어반",배전반 및 전기 자동제어반 제조업,인천광역시 서구 건지로 98-85 (가좌동),032-274-7400,032-274-7500,2021-06-30,,
689,(주)세진크랭크,크랭크,자동차용 신품 동력전달장치 제조업 외 1 종,"인천광역시 서구 호두산로 86, 1공장 (경서동)",032-564-4810,032-564-4813,2021-06-30,,
690,(주)세진크랭크,크랭크,자동차 엔진용 신품 부품 제조업 외 1 종,인천광역시 서구 건지로97번길 58 (석남동),032-564-4810,032-565-4813,2021-06-30,,
691,(주)세진크랭크,자동차용 크랭크,자동차용 신품 동력전달장치 제조업,"인천광역시 서구 호두산로 87 (경서동, 대광광업(주))",032-564-4810,032-564-4813,2021-06-30,,
692,(주)세진크랭크,크랭크,자동차용 신품 동력전달장치 제조업 외 1 종,"인천광역시 서구 호두산로94번길 10, 2공장 (경서동)",032-564-4810,032-564-4813,2021-06-30,,
693,(주)세화금속,"AL판,주방용품","알루미늄 압연, 압출 및 연신제품 제조업 외 2 종","인천광역시 서구 가좌로96번길 43 (가좌동, 세화알루미늄) (총 2 필지) 외 1필지",032-578-3456,032-578-0689,2021-06-30,,
694,(주)세화기연,이송로라,금속 주조 및 기타 야금용 기계 제조업,인천광역시 서구 보듬3로 15 (오류동),032-233-5585,032-5685-5468,2021-06-30,,
695,(주)세화엔스텍,액체여과기 등,액체 여과기 제조업 외 14 종,인천광역시 서구 건지로153번길 46-17 (석남동) 외 1필지,032-571-4221,032-571-4217,2021-06-30,,
696,(주)세화엔스텍,"공해방지시설업,농축기및유사용기",산업용 난방보일러 및 방열기 제조업 외 7 종,인천광역시 서구 중봉대로386번길 16 (원창동) (총 2 필지) 외 1필지,032-571-4220,032-571-5111,2021-06-30,,
697,(주)세화인더스트리,"파렛트랙, 중량랙, 경량랙 등",일반철물 제조업 외 3 종,인천광역시 서구 도담2로 15 (오류동),032-577-1589,032-576-1589,2021-06-30,,
698,(주)셀텍,2차전지 자동화설비,그 외 기타 특수목적용 기계 제조업,인천광역시 서구 북항로245번길 30 (원창동),032-575-5943,032-576-5943,2021-06-30,,
699,(주)소금집,"식육가공(잠봉,파스트라미,훈제베이컨,관찰레,판체타,카피톨라 등)",육류 기타 가공 및 저장처리업 (가금류 제외),인천광역시 서구 소담2로 51 (금곡동),02-304-1611,02-303-0801,2021-06-30,,
700,(주)소망푸드림,닭고기,가금류 가공 및 저장 처리업,"인천광역시 서구 보듬로 158, 6층 검단지식산업센터 블루텍 621호 (오류동)",,,2021-06-30,,
701,(주)소연정밀,로라,그 외 기타 금속가공업,인천광역시 서구 원전로37번길 3 (경서동),032-567-9252,032-567-9252,2021-06-30,,
702,(주)솔라테크코리아,태양광 도로표지병,그 외 기타 분류 안된 금속 가공 제품 제조업,"인천광역시 서구 길주로44번길 13, M동 3층 1호 (석남동)",032-579-2413,032-579-2414,2021-06-30,,
703,(주)솔로몬시스템,"방송신호증폭기, 영상신호증폭기",방송장비 제조업,인천광역시 서구 승학로506번안길 86 (검암동),032-872-7988,032-872-7989,2021-06-30,,
704,(주)수계량시스템,산업용 저울,일반저울 제조업,"인천광역시 서구 보도진로 38, 102호 (가좌동)",032-573-1884,032-573-1886,2021-06-30,,
705,(주)수성이노베이션,"전동지게차,식기세척기,견인차,팔레트,자율주행전동견인차,자율주행전동지게차",산업용 트럭 및 적재기 제조업 외 7 종,인천광역시 서구 로봇랜드로249번길 46-39 (청라동),032-820-5122,032-584-5161,2021-06-30,,
706,(주)수암,가구부품,"목재 보존, 방부처리, 도장 및 유사 처리업",인천광역시 서구 도담로 171 (오류동) 외 1필지,032-573-6397,032-573-6399,2021-06-30,,
707,(주)수앤텍,경사로 및 철구조물 외 ,구조용 금속 판제품 및 공작물 제조업 외 3 종,인천광역시 서구 원전로69번길 4 (경서동) 도림주철2공장 206-2호,032-568-4171,032-568-6975,2021-06-30,,
708,(주)수정전자,인쇄회로필림,경성 인쇄회로기판 제조업,"인천광역시 서구 중봉대로198번길 27,501호 (가좌동)",032-579-8353,032-582-6386,2021-06-30,,
709,(주)수피아건축,건축용목제품,기타 건축용 나무제품 제조업,인천광역시 서구 북항로 40 (원창동),032-504-1025,032-504-1028,2021-06-30,,
710,(주)순흥목재,"가설재,토류판",일반 제재업,인천광역시 서구 원당대로206번길 11-3 (오류동),032-564-3311,032-564-3313,2021-06-30,,
711,(주)슈퍼내츄럴스,"음료수,음료베이스,액상차,쥬스",기타 비알코올 음료 제조업 외 2 종,인천광역시 서구 건지로121번길 43-3 (석남동),02-1544-6903,02-6290-7005,2021-06-30,,
712,(주)스마트베큠,진공탱크,금속탱크 및 저장용기 제조업 외 2 종,인천광역시 서구 호두산로94번길 23 (경서동),032-563-5529,032-575-5529,2021-06-30,,
713,(주)스마트시티그리드,실내공기질 측정기,"물질 검사, 측정 및 분석기구 제조업 외 2 종","인천광역시 서구 정서진로 410, D동 207호 환경산업연구단지 (오류동)",032-875-9731,032-875-9732,2021-06-30,,
714,(주)스마트아이팩,버퍼튜브 충진 및 포장,포장 및 충전업,인천광역시 서구 가좌로 54 (가좌동) 1동 3층 301호,,,2021-06-30,,
715,(주)스마트원,소형기기용충전기,기타 전기 변환장치 제조업 외 1 종,인천광역시 서구 장고개로126번길 17-5 (가좌동),070-7593-3779,070-8615-3779,2021-06-30,,
716,(주)스마트코퍼레이션,고주파 실링기기,그 외 기타 일반목적용 기계 제조업,"인천광역시 서구 가좌로 54 (가좌동) 주안비티센터2차 204, 206, 207, 208, 211, 212, 213호",032-573-6671,032-573-6674,2021-06-30,,
717,(주)스이레이,도금약품,그 외 기타 분류 안된 화학제품 제조업,"인천광역시 서구 가람로 14, 4층 인천표면처리센터 코아텍 410호 (오류동)",032-585-6119,032-585-6120,2021-06-30,,
718,(주)스이레이,전자부품,도금업,"인천광역시 서구 가람로 14, 5층 507호(오류동, 인천표면처리센터 요진코아텍)",032-585-6119,032-585-6120,2021-06-30,,
719,(주)스카이픽션,"드론, 드론부품",무인 항공기 및 무인 비행장치 제조업,"인천광역시 서구 로봇랜드로 155-11, 로봇타워 1204호 (청라동)",032-727-5182,032-727-5183,2021-06-30,,
720,(주)스킨나인코스메틱,마스크팩,화장품 제조업,인천광역시 서구 가재울로32번길 10-10 (가좌동),,032-232-1568,2021-06-30,,
721,(주)스킨덤,화장품,화장품 제조업,"인천광역시 서구 가좌로29번길 22, 인천뷰티코스메틱센터 지식산업 502호 (가좌동)",02-1644-4101,032-822-4101,2021-06-30,,
722,(주)스킨이데아,"마스크팩, 기초화장품",화장품 제조업,인천광역시 서구 북항단지로 119 (원창동),032-572-5690,032-572-5688,2021-06-30,,
723,(주)스타우드,피복처리 목재보드,"박판, 합판 및 유사 적층판 제조업",인천광역시 서구 북항로177번길 124 (원창동) 씨동 1호,032-571-3412,032-724-0421,2021-06-30,,
724,(주)스타픽스,주방용품,수동식 식품 가공기기 및 금속 주방용기 제조업,인천광역시 서구 사월로37번길 22-7 (왕길동),032-567-1431,032-567-1426,2021-06-30,,
725,(주)스토즈,사무용가구,기타 목재가구 제조업,인천광역시 서구 가현산로23번길 24-1 (마전동),032-567-7500,032-562-8481,2021-06-30,,
726,(주)스토즈,사무용가구,기타 목재가구 제조업,인천광역시 서구 도담로 173 (오류동),032-567-7500,070-8282-3583,2021-06-30,,
727,(주)스톰앤,"인쇄물,스티커류",스크린 인쇄업 외 1 종,"인천광역시 서구 길주로 10, 2층 (석남동)",032-885-4127,032-881-4128,2021-06-30,,
728,(주)스틸원,강재제조,그 외 기타 1차 철강 제조업,인천광역시 서구 보듬로 29 (오류동),032-566-9539,032-567-9849,2021-06-30,,
